timestamp,voltage,current,temperature,humidity,light_intensity,thermistor_temp,efficiency,relay_status,fault_type,confidence,power
2026-02-10T21:29:19.299668,0.71,-8.490028,0.0,0.0,1119.0,16.17272,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:21.507061,0.71,-8.490028,0.0,0.0,1119.0,16.17272,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:24.104078,0.775,-8.490028,0.0,0.0,1135.0,16.32471,0.0,False,Short_Circuit,46.666666666666664,-6.58
2026-02-10T21:29:26.561032,0.775,-8.490028,0.0,0.0,1135.0,16.32471,0.0,False,Short_Circuit,46.666666666666664,-6.58
2026-02-10T21:29:29.052325,0.71,-8.490028,0.0,0.0,1148.0,16.28436,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:31.683800,0.71,-8.490028,0.0,0.0,1148.0,16.28436,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:34.246752,0.71,-8.490028,0.0,0.0,1102.0,16.40366,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:36.695380,0.71,-8.490028,0.0,0.0,1102.0,16.40366,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:39.247925,0.71,-8.490028,0.0,0.0,1118.0,16.11129,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:41.702659,0.71,-8.490028,0.0,0.0,1118.0,16.11129,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:44.421031,0.71,-8.490028,0.0,0.0,1122.0,16.37578,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:47.222859,0.71,-8.490028,0.0,0.0,1122.0,16.37578,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:51.767383,0.71,-8.490028,0.0,0.0,1119.0,16.14737,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:54.081213,0.71,-8.490028,0.0,0.0,1125.0,16.32513,0.0,False,Short_Circuit,46.666666666666664,-6.03
2026-02-10T21:29:57.099909,0.71,-8.490028,0.0,0.0,1125.0,16.32513,0.0,False,Short_Circuit,46.666666666666664,-6.03
